State,Unemployment Rate
Andhra Pradesh,8.664
Assam,4.856000000000001
Bihar,19.470999999999997
Chhattisgarh,7.819
Delhi,18.414
Goa,12.166999999999998
Gujarat,6.376
Haryana,27.476999999999997
Himachal Pradesh,16.065
Jammu & Kashmir,16.477777777777778
Jharkhand,19.538999999999998
Karnataka,7.667999999999999
Kerala,9.434
Madhya Pradesh,6.853999999999999
Maharashtra,7.978999999999999
Meghalaya,3.8660000000000005
Odisha,6.462000000000001
Puducherry,17.942
Punjab,11.980999999999998
Rajasthan,15.868
Sikkim,9.7925
Tamil Nadu,12.187000000000001
Telangana,6.833
Tripura,25.055
Uttar Pradesh,9.737
Uttarakhand,11.156000000000002
West Bengal,10.192
Arunachal Pradesh,0
Manipur,0
Mizoram,0
Nagaland,0
Andaman and Nicobar,0
Chandigarh,0
Dadra and Nagar Haveli,0
Daman and Diu,0
Lakshadweep,0
Ladakh,0
